idSPE;idMVS;SPE;MVS;SPE-MVS;WKT
12;3;ASL 12;MVS3;ASL12-MVS3;Polygon ((-37.049390195 -5.52694764199998,-37.051675484 -5.52460265799999,-37.052225467 -5.52514078199999,-37.054483412 -5.52514818599997,-37.055075758 -5.52506942999997,-37.055745122 -5.52438529199998,-37.056265568 -5.52385321699995,-37.058050018 -5.52202922099997,-37.059139473 -5.52091550099999,-37.059758565 -5.520282716,-37.058906891 -5.51976765899997,-37.057527364 -5.51976550199998,-37.056841453 -5.519094387,-37.055434685 -5.52053795299997,-37.054281609 -5.521721173,-37.053310374 -5.52271779899996,-37.052256724 -5.523798989,-37.051836521 -5.524230171,-37.051572098 -5.52450150299995,-37.051617234 -5.52454566399996,-37.049331971 -5.52689067399996,-37.049390195 -5.52694764199998))
2;5;ASL 02;MVS5;ASL02-MVS5;Polygon ((-37.030057154 -5.602804768,-37.026804293 -5.60279381499998,-37.026808329 -5.60287430799997,-37.026824016 -5.60318710999996,-37.026853889 -5.603837704,-37.026871092 -5.60421305399996,-37.026906523 -5.60500234,-37.0269566 -5.60609429199997,-37.026992864 -5.60689212999995,-37.0270162899999 -5.60740755399996,-37.027027305 -5.60764986699996,-37.027101628 -5.607723986,-37.027409486 -5.60803099599997,-37.027472519 -5.60809385499999,-37.02757763 -5.60819928899997,-37.027668067 -5.60819959399998,-37.027869061 -5.60839524299996,-37.028524836 -5.60903357499996,-37.028901522 -5.60940023899997,-37.029202733 -5.60969343699998,-37.029485239 -5.60940520099996,-37.029510063 -5.60874360099996,-37.029517147 -5.60855478799999,-37.029530578 -5.60819683,-37.029535658 -5.60793909999995,-37.029539486 -5.60679811099999,-37.029727253 -5.60679874299996,-37.02973636 -5.60408342199997,-37.030052864 -5.60408448699997,-37.030057154 -5.602804768))
12;2;ASL 12;MVS2;ASL12-MVS2;Polygon ((-37.060542931 -5.519480864,-37.061526793 -5.51847513599995,-37.061978375 -5.51801356299995,-37.062525525 -5.51745420199995,-37.063605927 -5.51634981199999,-37.064482584 -5.51545364999998,-37.065182723 -5.51473792899998,-37.065786028 -5.51412119699995,-37.064942523 -5.51347919599999,-37.063523141 -5.51347342699995,-37.062936227 -5.51284004899998,-37.062013578 -5.513786848,-37.061231643 -5.51458926499998,-37.06041969 -5.51542248199996,-37.059123016 -5.51675311999998,-37.058419948 -5.51747457799996,-37.057904253 -5.51800376799997,-37.057371822 -5.51855013199997,-37.056948749 -5.51898428499999,-37.056841453 -5.519094387,-37.057527364 -5.51976550199998,-37.058906891 -5.51976765899997,-37.059758529 -5.520282694,-37.060542931 -5.519480864))
3;1;ASL 03;MVS1;ASL03-MVS1;Polygon ((-37.048062357 -5.60286506799997,-37.048062354 -5.60286609499997,-37.051081306 -5.60287615099998,-37.051085384 -5.60164605699998,-37.047695887 -5.59918842999997,-37.047688026 -5.601493027,-37.048066909 -5.60149428999995,-37.048062357 -5.60286506799997))
12;1;ASL 12;MVS1;ASL12-MVS1;Polygon ((-37.066033641 -5.51386807299997,-37.066857177 -5.51302617799996,-37.067626442 -5.51223980199995,-37.068731062 -5.51111056299999,-37.069851773 -5.50996489299996,-37.070367249 -5.509437924,-37.071048055 -5.50874194399995,-37.070566779 -5.50844881699999,-37.070007862 -5.50810842099997,-37.069751726 -5.507952397,-37.067705454 -5.50794576099997,-37.0662595209999 -5.50942964999996,-37.064993112 -5.51072923099997,-37.063834604 -5.51191813299999,-37.06317406 -5.51259598499996,-37.062936227 -5.51284004899998,-37.063523141 -5.51347342699995,-37.064942523 -5.51347919599999,-37.065786012 -5.51412118399998,-37.066033641 -5.51386807299997))
3;2;ASL 03;MVS2;ASL03-MVS2;Polygon ((-37.048053523 -5.60552427299996,-37.048066909 -5.60149428999995,-37.047688026 -5.60149299099999,-37.047695887 -5.59918842999997,-37.047340142 -5.59893048699996,-37.047199947 -5.59882883499995,-37.04709643 -5.59875377699996,-37.047012999 -5.598693282,-37.046919492 -5.59862548299998,-37.046878522 -5.598595778,-37.046611811 -5.598325778,-37.045988154 -5.59769443499999,-37.045984388 -5.59882835799999,-37.04542335 -5.598826487,-37.045414511 -5.60148544399999,-37.045790261 -5.60148669799997,-37.045776859 -5.60551667499999,-37.048053523 -5.60552427299996))
12;6;ASL 12;MVS6;ASL12-MVS6;Polygon ((-37.032261893 -5.53672697999997,-37.032392104 -5.53673832199996,-37.033122624 -5.53674005199997,-37.033766376 -5.53674157499995,-37.034005235 -5.53674214,-37.034096709 -5.53682805,-37.034810472 -5.53609601099998,-37.034946592 -5.534858128,-37.034994925 -5.534418577,-37.035100198 -5.532183562,-37.035142322 -5.531289211,-37.035165413 -5.53079897399999,-37.034826602 -5.53113988899997,-37.033349995 -5.53262566999996,-37.03199784 -5.533986212,-37.031161057 -5.53482817899999,-37.03074003 -5.53525181199996,-37.030735587 -5.53659404299998,-37.031007257 -5.53661770599996,-37.032261893 -5.53672697999997)),((-37.029208702 -5.53844471699995,-37.032532475 -5.53845576799995,-37.03290498 -5.53806552499998,-37.032907378 -5.53696793299997,-37.032633307 -5.53695878399998,-37.032502143 -5.536954407,-37.032467458 -5.53692161799995,-37.032016181 -5.53689708999997,-37.031559798 -5.53687228299998,-37.029123895 -5.53685967499996,-37.028890296 -5.53709390999995,-37.02888631 -5.53829634099998,-37.029208702 -5.53844471699995))
3;3;ASL 03;MVS3;ASL03-MVS3;Polygon ((-37.04542335 -5.598826487,-37.043524432 -5.59882084899999,-37.043509234 -5.60416808399998,-37.043572121 -5.60416829399998,-37.043567656 -5.605509294,-37.045776859 -5.60551667499999,-37.045790261 -5.60148669799997,-37.045414511 -5.60148544399999,-37.04542335 -5.598826487))
13;1;ASL 13;MVS1;ASL13-MVS1;Polygon ((-37.018517707 -5.53301684399997,-37.018476459 -5.533083885,-37.019552987 -5.53362977499995,-37.020400594 -5.53446788999997,-37.020465313 -5.53445910599999,-37.022997414 -5.53449726599996,-37.023792046 -5.53330344599999,-37.024523257 -5.53220489999995,-37.025402287 -5.53088426299996,-37.026095828 -5.52984229599997,-37.026098633 -5.52899616899998,-37.025648079 -5.52881358499997,-37.024654679 -5.52881027799998,-37.024656494 -5.52826299199995,-37.020901355 -5.53093683499998,-37.020895502 -5.532697391,-37.020074404 -5.53269322999995,-37.020070052 -5.53400130099999,-37.019611769 -5.53354811999998,-37.018517707 -5.53301684399997))
3;4;ASL 03;MVS4;ASL03-MVS4;Polygon ((-37.041863832 -5.605503054,-37.043567656 -5.605509294,-37.043572121 -5.60416829399998,-37.043509234 -5.60416808399998,-37.043524432 -5.59882084899999,-37.0412531429999 -5.59881436899997,-37.041239661 -5.60286092999996,-37.041307397 -5.60286115699995,-37.041298083 -5.60414055299998,-37.041294876 -5.60521559699998,-37.041509052 -5.60521623799997,-37.041837399 -5.60521722099998,-37.04184344 -5.60521667499995,-37.041863832 -5.605503054))
13;2;ASL 13;MVS2;ASL13-MVS2;Polygon ((-37.030516079 -5.53012849599997,-37.028830788 -5.53012990799999,-37.028834644 -5.52884001199999,-37.028291769 -5.52854618099997,-37.027400168 -5.52989386599995,-37.026657616 -5.53101624799996,-37.025524212 -5.53272940299996,-37.024421301 -5.53439644599996,-37.023987085 -5.53505275799995,-37.023084136 -5.536417546,-37.023752023 -5.53686117399997,-37.025040856 -5.53686547199999,-37.025297542 -5.53661095299998,-37.02613653 -5.53577915899996,-37.026896913 -5.53502521499996,-37.027895741 -5.53403483699998,-37.029283769 -5.53265854,-37.031350829 -5.53060892799999,-37.030516079 -5.53012849599997))
13;3;ASL 13;MVS3;ASL13-MVS3;Polygon ((-37.031350829 -5.53060892799999,-37.032576016 -5.52939377899997,-37.03318341 -5.52879179499996,-37.033189342 -5.52699502899998,-37.032464933 -5.52693168299999,-37.032466718 -5.52639078599998,-37.032748523 -5.52406205699998,-37.031261595 -5.52405712899997,-37.029205518 -5.52716501199995,-37.028291769 -5.52854618099997,-37.028834644 -5.52884001199999,-37.028830788 -5.53012990799999,-37.030516079 -5.53012849599997,-37.031350829 -5.53060892799999))
4;1;ASL 04;MVS1;ASL04-MVS1;Polygon ((-37.044724899 -5.589496317,-37.047968988 -5.58950747,-37.04795898 -5.58936651599998,-37.047951692 -5.58921521299999,-37.047887824 -5.58814355099997,-37.047831341 -5.58718161299998,-37.047780617 -5.586324531,-37.047765556 -5.586070248,-37.047743838 -5.58570355299997,-37.047733711 -5.58553256699997,-37.04694655 -5.58508889999996,-37.046878545 -5.58505056999996,-37.046841514 -5.58498184899997,-37.0464101049999 -5.58418125699995,-37.046398922 -5.58416050599999,-37.046391508 -5.58413812999999,-37.046315703 -5.583909345,-37.045109511 -5.583708715,-37.04468507 -5.58363811499999,-37.044623177 -5.58362782099999,-37.044617043 -5.58547758599997,-37.044738231 -5.58547798999996,-37.044724899 -5.589496317)),((-37.047279499 -5.58465715999995,-37.047695475 -5.58489161599999,-37.047690177 -5.58480283599999,-37.047650101 -5.584131297,-37.047465426 -5.58410058099997,-37.046931747 -5.58401181399995,-37.047279499 -5.58465715999995))
13;4;ASL 13;MVS4;ASL13-MVS4;Polygon ((-37.040830953 -5.52849554699998,-37.040829675 -5.52717917599995,-37.0402575849999 -5.527178822,-37.039507207 -5.526430119,-37.038031824 -5.52791464199998,-37.037211374 -5.52874027499996,-37.036429498 -5.52952693899999,-37.03638524 -5.52957147499995,-37.036337374 -5.52957131599999,-37.036346683 -5.52935938999997,-37.036366604 -5.52890585399996,-37.036405469 -5.52802102299995,-37.036458387 -5.52681617499996,-37.036472456 -5.52649587099995,-37.036476536 -5.52640299999996,-37.0364934999999 -5.52622297699997,-37.036508801 -5.52606062899997,-37.036515903 -5.525985263,-37.036518538 -5.52595014299999,-37.03651365 -5.52590557899998,-37.03649733 -5.52585774399995,-37.03648261 -5.52583168399997,-37.036467627 -5.52581159199997,-37.036450653 -5.52579357399998,-37.036421386 -5.52577029599996,-37.036395277 -5.52575547599997,-37.036368091 -5.52574463799999,-37.036337725 -5.52573811999997,-37.03628828 -5.52572750599995,-37.036228194 -5.52571460999997,-37.036207894 -5.52570283799997,-37.036187003 -5.52568236099995,-37.036175448 -5.52566363999995,-37.036165266 -5.52562604499997,-37.036166052 -5.52560213799995,-37.036173054 -5.52557681299999,-37.036188392 -5.52555098799996,-37.036211006 -5.52551756099996,-37.036276202 -5.525421188,-37.036332731 -5.52533762599995,-37.036362237 -5.52529401099997,-37.036386812 -5.525255754,-37.036462429 -5.52512106199998,-37.036535691 -5.52499113599998,-37.036601215 -5.52487558299998,-37.036617468 -5.52484691799998,-37.036629592 -5.52482647699998,-37.036645356 -5.524794649,-37.036661683 -5.52475060399996,-37.036668808 -5.52472382399998,-37.036675878 -5.52468322899995,-37.036678675 -5.52464163399998,-37.036601328 -5.52464137799996,-37.03659678 -5.52468969499995,-37.036580946 -5.52474781299998,-37.036551218 -5.52480686199999,-37.036512499 -5.52487514699999,-37.036415326 -5.52504688199997,-37.036324558 -5.52520856399997,-37.036223913 -5.52536034999997,-37.036187609 -5.52541401399998,-37.036116757 -5.52551818199998,-37.036097626 -5.52555760399997,-37.036090983 -5.52558232399997,-37.036087604 -5.52561431299995,-37.036089731 -5.525645623,-37.036097982 -5.52567852799996,-37.036108592 -5.525702905,-37.036124933 -5.52572862199997,-37.036137319 -5.525743283,-37.036154239 -5.525759161,-37.036170634 -5.52577123099996,-37.036205362 -5.525788971,-37.036237429 -5.52579585399997,-37.03631934 -5.52581343499998,-37.036352222 -5.52582119699997,-37.036382594 -5.52583760799996,-37.036404857 -5.52585738899995,-37.036424491 -5.52588515299999,-37.036436097 -5.525914038,-37.036441039 -5.525944907,-37.036441082 -5.525957017,-37.036439147 -5.52597532099998,-37.036437527 -5.52599250599997,-37.036418769 -5.52619154299998,-37.0363993449999 -5.52639765099997,-37.036375527 -5.52693996199997,-37.036314194 -5.52833635499996,-37.036278237 -5.52915499799997,-37.036259947 -5.52957135999998,-37.036244328 -5.52957100799995,-37.03623747 -5.52972030799998,-37.035829123 -5.53013122499999,-37.035748775 -5.531837908,-37.035669956 -5.53351209899995,-37.035558811 -5.53506817199997,-37.035526645 -5.53536149599995,-37.036138017 -5.53473446599997,-37.037360255 -5.53348091299995,-37.0388562099999 -5.53194662099997,-37.039464922 -5.53132230399996,-37.03974163 -5.53103850299999,-37.03989583 -5.53088034799998,-37.040043065 -5.53072933899995,-37.040710344 -5.53004494799995,-37.041562331 -5.52917110999999,-37.040830953 -5.52849554699998))
4;2;ASL 04;MVS2;ASL04-MVS2;Polygon ((-37.042025057 -5.58418651299996,-37.042024578 -5.585468897,-37.042086856 -5.58546910499996,-37.042077825 -5.588187791,-37.042138427 -5.58818799299996,-37.042134108 -5.58948767999999,-37.042392435 -5.58948854099998,-37.044724899 -5.589496317,-37.044738231 -5.58547798999996,-37.044617043 -5.58547758599997,-37.044623177 -5.58362782099999,-37.044399108 -5.58359055099999,-37.043999943 -5.58352415399997,-37.043345377 -5.58341527699997,-37.042656205 -5.58330063999995,-37.042643285 -5.58337861199999,-37.04261263 -5.58356359999999,-37.042570516 -5.58381775199996,-37.042562526 -5.58386596199995,-37.042556872 -5.583900089,-37.042026014 -5.58389832,-37.042025057 -5.58418651299996))
13;6;ASL 13;MVS6;ASL13-MVS6;Polygon ((-37.045940098 -5.523242122,-37.043889429 -5.52323368999998,-37.043223526 -5.522690517,-37.042495805 -5.523422826,-37.041502935 -5.52442187299999,-37.040456685 -5.525474659,-37.039507225 -5.526430103,-37.0402575849999 -5.527178822,-37.040829675 -5.52717917599995,-37.040830953 -5.52849554699998,-37.041562333 -5.52917110999999,-37.042186168 -5.52853126899998,-37.043717638 -5.526960503,-37.044849511 -5.52579957499995,-37.046014405 -5.524604775,-37.046753106 -5.52384709999995,-37.045940098 -5.523242122))
4;3;ASL 04;MVS3;ASL04-MVS3;Polygon ((-37.039147591 -5.58409541999998,-37.039431455 -5.58409636699997,-37.039810547 -5.58409763199995,-37.039812533 -5.58350022599996,-37.039812548 -5.58349241599996,-37.039614797 -5.58327921899996,-37.039616407 -5.58279499599996,-37.038902294 -5.58267620699996,-37.037607869 -5.58246088599998,-37.036493603 -5.58227552899996,-37.035905891 -5.58217776299995,-37.035549871 -5.58211853899996,-37.035281488 -5.58207389299997,-37.035189639 -5.58234554899997,-37.03518814 -5.58279552799996,-37.035184826 -5.58379030099996,-37.035183774 -5.58410590199998,-37.039147591 -5.58409541999998))
13;5;ASL 13;MVS5;ASL13-MVS5;Polygon ((-37.047900867 -5.52216962199998,-37.04791267 -5.52256307099998,-37.049121691 -5.521307761,-37.050340373 -5.52004241099996,-37.051703316 -5.51862726399997,-37.051064238 -5.51836935399996,-37.050125662 -5.51799057599999,-37.04974815 -5.51783822499999,-37.049487772 -5.51745035099998,-37.04919894 -5.51702009099995,-37.049118143 -5.51689973099997,-37.048548983 -5.51747479899996,-37.048043824 -5.51798520099999,-37.047783241 -5.51824848799998,-37.047835644 -5.51999530999996,-37.047900867 -5.52216962199998)),((-37.045940098 -5.523242122,-37.046753112 -5.523847096,-37.046911567 -5.52368457099999,-37.046873216 -5.52175189799999,-37.046820024 -5.51907145799998,-37.045698884 -5.52019965099998,-37.045246263 -5.52065510199998,-37.044436666 -5.521469798,-37.043597865 -5.52231385799996,-37.043223526 -5.522690517,-37.043889429 -5.52323368999998,-37.045940098 -5.523242122))
4;4;ASL 04;MVS4;ASL04-MVS4;Polygon ((-37.040186871 -5.58948093799995,-37.039474125 -5.59031597199998,-37.040146277 -5.59099642699999,-37.040458333 -5.59131233699998,-37.040887813 -5.59174712099997,-37.041199569 -5.59206272799997,-37.04120379 -5.59079369899996,-37.042388085 -5.590797651,-37.042392435 -5.58948854099998,-37.042134108 -5.58948767999999,-37.042138427 -5.58818799299996,-37.042077825 -5.588187791,-37.042086856 -5.58546910499996,-37.042024578 -5.585468897,-37.042026014 -5.58389832,-37.040183344 -5.58389217599995,-37.039812548 -5.58349241599996,-37.039810536 -5.58409763199995,-37.039801509 -5.58681291699997,-37.040187059 -5.58681420399995,-37.040182513 -5.58818127299998,-37.040243589 -5.58818147699998,-37.040239265 -5.58948158299995,-37.040186871 -5.58948093799995))
10;6;ASL 10;MVS6;ASL10-MVS6;Polygon ((-37.03902293 -5.517709895,-37.039025339 -5.51640675099998,-37.039034724 -5.51503285899997,-37.0386819 -5.51503169599999,-37.037772584 -5.51421501999999,-37.037433128 -5.51472815899996,-37.037129103 -5.51518774199997,-37.036486976 -5.51615840699998,-37.036455031 -5.51683681899999,-37.036363367 -5.51878207499999,-37.03659468 -5.51878068899998,-37.036595059 -5.51911361599997,-37.036595961 -5.51990719199995,-37.036597385 -5.52116272499995,-37.036598596 -5.522230573,-37.036600034 -5.523498319,-37.036600706 -5.52409157399995,-37.036601328 -5.52464088199997,-37.036678675 -5.52464163399998,-37.036678356 -5.524360011,-37.036677164 -5.523306553,-37.036675286 -5.521648793,-37.036674029 -5.520540117,-37.036672033 -5.51878029,-37.039678156 -5.51876258099998,-37.040190725 -5.51860367899997,-37.03902293 -5.517709895))
4;5;ASL 04;MVS5;ASL04-MVS5;Polygon ((-37.039474125 -5.59031597199998,-37.040186871 -5.58948093799995,-37.040239266 -5.58948111299998,-37.040243589 -5.58818147699998,-37.040182513 -5.58818127299998,-37.040187059 -5.58681420399995,-37.039801509 -5.58681291699997,-37.039810547 -5.58409763199995,-37.035183774 -5.58410590199998,-37.035620664 -5.58490860199998,-37.035885435 -5.585395065,-37.036160881 -5.585901143,-37.036118952 -5.58691932099998,-37.036219878 -5.58702149699997,-37.036463709 -5.58726834399999,-37.037244583 -5.58805887299997,-37.038066007 -5.58889045199999,-37.038616922 -5.58944817599996,-37.038994711 -5.58983063399995,-37.039474125 -5.59031597199998))
10;5;ASL 10;MVS5;ASL10-MVS5;Polygon ((-37.041878131 -5.513640737,-37.041883095 -5.51236492199996,-37.039997603 -5.512355496,-37.039400082 -5.51175478899995,-37.039048025 -5.51228698599999,-37.038657223 -5.51287774699995,-37.038287776 -5.51343622899998,-37.037772584 -5.51421501999999,-37.0386819 -5.51503169599999,-37.039034724 -5.51503285899997,-37.039025339 -5.51640675099998,-37.03902293 -5.517709895,-37.040190725 -5.51860367899997,-37.040687168 -5.51844977799999,-37.041358225 -5.51771866999997,-37.041812631 -5.516385689,-37.04189218 -5.51511138299998,-37.041914444 -5.51475473899995,-37.042636465 -5.51442661599998,-37.041878131 -5.513640737))
5;1;ASL 05;MVS1;ASL05-MVS1;Polygon ((-37.058332056 -5.60621951099995,-37.060257001 -5.60622589499997,-37.060255946 -5.60610601899998,-37.060253726 -5.60585402999999,-37.060251365 -5.60558576299997,-37.060234155 -5.60524017099999,-37.060200235 -5.604625919,-37.06017425 -5.60415534399999,-37.060135933 -5.60346149399999,-37.057750868 -5.60345358699999,-37.057755162 -5.60215398399998,-37.056702272 -5.60215049099997,-37.056704115 -5.60159283499996,-37.053969827 -5.60158375599997,-37.053964962 -5.60305313799995,-37.054307571 -5.60330154899998,-37.0550973 -5.603874147,-37.055801 -5.60438436799996,-37.056261586 -5.60471831899997,-37.05687391 -5.605162286,-37.057280983 -5.60545743299997,-37.057916424 -5.605918159,-37.058332056 -5.60621951099995)),((-37.060251892 -5.60561121899997,-37.060281386 -5.606537248,-37.063773055 -5.60555493499999,-37.06366158 -5.60503042699997,-37.060251892 -5.60561121899997))
10;4;ASL 10;MVS4;ASL10-MVS4;Polygon ((-37.0446559539999 -5.50967236999998,-37.043848912 -5.50966811999996,-37.0438559729999 -5.50838191999998,-37.042659829 -5.50837433499998,-37.041987524 -5.50784337699997,-37.041812185 -5.50810843799997,-37.041062487 -5.50924175599999,-37.040570973 -5.50998477599995,-37.040108258 -5.510684255,-37.039400082 -5.51175478899995,-37.039997603 -5.512355496,-37.041883095 -5.51236492199996,-37.041878131 -5.513640737,-37.042636465 -5.51442661599998,-37.043131391 -5.51396588799997,-37.044046427 -5.51206317499998,-37.044317554 -5.51107143799999,-37.045305696 -5.51033601899996,-37.0446559539999 -5.50967236999998))
5;2;ASL 05;MVS2;ASL05-MVS2;Polygon ((-37.056704115 -5.60159283499996,-37.056702272 -5.60215049099997,-37.057755162 -5.60215398399998,-37.057750868 -5.60345358699999,-37.060135933 -5.60346149399999,-37.060100138 -5.60281328299999,-37.060029624 -5.60153636599995,-37.059972576 -5.60050331399998,-37.059910463 -5.59937854499998,-37.059877715 -5.59878554899996,-37.059828718 -5.597898305,-37.058020702 -5.59791522899997,-37.057880457 -5.597914764,-37.057879992 -5.59805570399999,-37.057718919 -5.59805516999995,-37.057715106 -5.59920990499995,-37.05662236 -5.59920628199995,-37.056617104 -5.60079673599995,-37.056706746 -5.60079703299999,-37.056704115 -5.60159283499996))
